meeting_date,meeting_type,agenda_file,minutes_file,meeting_id,agenda_item_number,agenda_item_title,agenda_item_description,motion_text,motion_type,mover,seconder,outcome,vote_count,tally_ayes,tally_noes,tally_abstain,tally_absent,tally_recused,amezcua_vote,bacerra_vote,hernandez_vote,penaloza_vote,phan_vote,vazquez_vote,sarmiento_vote,lopez_vote,mendoza_vote,recusals_notes,meeting_section,vote_sequence,validation_notes,data_quality_score,parsed_by,parse_date
2024-01-16,regular,20240116_Meetings4406Agenda.txt,20240116_minutes_regular_city_council_meeting_special_housing_auth.txt,SA_20240116,CONSENT,Consent Calendar Items A-F,Approve routine administrative items including contracts under $50000,moved to approve the Consent Calendar,consent,Bacerra,Phan,Pass,7-0,7,0,0,0,0,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,,none,open,1,routine consent calendar approval,10,MI,2024-09-24
2024-01-16,regular,20240116_Meetings4406Agenda.txt,20240116_minutes_regular_city_council_meeting_special_housing_auth.txt,SA_20240116,26,Budget Amendment Resolution,Approve amendment to FY2024 budget for emergency infrastructure repairs totaling $850000,moved to approve the recommended action for Agenda Item No. 26,original,Bacerra,Phan,Pass,7-0,7,0,0,0,0,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,,none,open,2,clear unanimous vote on budget item,10,MI,2024-09-24
2024-01-16,regular,20240116_Meetings4406Agenda.txt,20240116_minutes_regular_city_council_meeting_special_housing_auth.txt,SA_20240116,27,Mayor Pro Tem Appointment,Appointment of Mayor Pro Tem for 2024 term effective immediately,moved to appoint Councilmember Phan as Mayor Pro Tem,original,Hernandez,Vazquez,Pass,6-1,6,1,0,0,0,Aye,Nay,Aye,Aye,Aye,Aye,,Aye,,none,open,3,contested leadership vote - Bacerra voted against,9,MI,2024-09-24
2024-01-16,regular,20240116_Meetings4406Agenda.txt,20240116_minutes_regular_city_council_meeting_special_housing_auth.txt,SA_20240116,28,Development Agreement - Bristol Street,Approve development agreement for mixed-use project at 1425 Bristol Street,moved to approve the development agreement as presented,original,Phan,Amezcua,Pass,5-2,5,2,0,0,0,Aye,Nay,Nay,Aye,Aye,Aye,,Aye,,none,open,4,split vote on development project,8,MI,2024-09-24
2023-06-20,regular,20230620_Meetings4261Agenda.txt,20230620_minutes_regular_city_council_meeting.txt,SA_20230620,15,Police Department Equipment Purchase,Authorize purchase of police vehicles and equipment totaling $1200000,moved to approve the police equipment purchase,original,Vazquez,Bacerra,Pass,6-1,6,1,0,0,0,Aye,Aye,Nay,Aye,Aye,Aye,Aye,,,none,open,1,Hernandez opposed police spending,7,MI,2024-09-24
2023-06-20,regular,20230620_Meetings4261Agenda.txt,20230620_minutes_regular_city_council_meeting.txt,SA_20230620,16,Housing Development Incentive,Approve incentive package for affordable housing development on Main Street,moved to approve the housing incentive package with modifications,amendment,Phan,Amezcua,Pass,7-0,7,0,0,0,0,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,,none,open,2,unanimous support for affordable housing,10,MI,2024-09-24
2023-06-20,regular,20230620_Meetings4261Agenda.txt,20230620_minutes_regular_city_council_meeting.txt,SA_20230620,17,City Manager Contract Extension,Approve two-year contract extension for City Manager position,moved to approve the contract extension,original,Bacerra,Vazquez,Fail,3-4,3,4,0,0,0,Nay,Aye,Nay,Nay,Aye,Nay,Aye,,,none,open,3,failed - insufficient support for extension,9,MI,2024-09-24
2021-07-20,regular,20210720_Meetings3666Agenda.txt,20210720_minutes_regular_city_council_and_special_housing_authority.txt,SA_20210720,12,COVID-19 Business Relief Program,Establish $2000000 business relief program for pandemic recovery,moved to establish the business relief program as recommended,original,Sarmiento,Lopez,Pass,7-0,7,0,0,0,0,,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,none,open,1,unanimous COVID relief support,10,MI,2024-09-24
2021-07-20,regular,20210720_Meetings3666Agenda.txt,20210720_minutes_regular_city_council_and_special_housing_authority.txt,SA_20210720,13,Park Improvement Bond Authorization,Authorize $5000000 bond for citywide park improvements and renovations,moved to authorize the park improvement bonds,original,Mendoza,Phan,Pass,6-1,6,1,0,0,0,,Aye,Nay,Aye,Aye,Aye,Aye,Aye,Aye,none,open,2,Hernandez opposed bond debt,8,MI,2024-09-24
2021-07-20,regular,20210720_Meetings3666Agenda.txt,20210720_minutes_regular_city_council_and_special_housing_authority.txt,SA_20210720,14,Downtown Redevelopment Plan,Approve Phase 2 of downtown redevelopment master plan,moved to approve Phase 2 of the redevelopment plan,original,Lopez,Bacerra,Pass,4-3,4,3,0,0,0,,Aye,Nay,Nay,Aye,Aye,Nay,Aye,Aye,none,open,3,narrow approval for redevelopment,7,MI,2024-09-24
